Year,Jan,Feb
1874,6.409999847412109,4.480000019073486
1875,4.179999828338623,2.430000066757202
1876,5.429999828338623,4.179999828338623
1877,3.380000114440918,1.8899999856948853
1878,5.46999979019165,3.809999942779541
1879,5.239999771118164,4.190000057220459
1880,4.570000171661377,2.9000000953674316
1881,3.4600000381469727,2.130000114440918
1882,7.070000171661377,5.360000133514404
1883,6.480000019073486,5.25
1884,4.449999809265137,3.009999990463257
1885,4.550000190734863,3.059999942779541
1886,4.659999847412109,3.4600000381469727
1887,5.159999847412109,4.090000152587891
1888,4.809999942779541,3.3299999237060547
1889,3.7699999809265137,2.3299999237060547
1890,4.639999866485596,3.0399999618530273
1891,5.119999885559082,3.180000066757202
1892,2.859999895095825,1.7000000476837158
1893,4.090000152587891,2.4100000858306885
1894,5.239999771118164,3.190000057220459
1895,4.840000152587891,3.1700000762939453
1896,6.139999866485596,4.800000190734863
1897,5.010000228881836,3.2899999618530273
1898,6.25,4.670000076293945
1899,5.929999828338623,4.480000019073486
1900,6.440000057220459,4.539999961853027
1901,4.340000152587891,3.0999999046325684
1902,5.579999923706055,4.309999942779541
1903,1.940000057220459,1.2300000190734863
1904,3.8399999141693115,2.390000104904175
1905,3.380000114440918,1.9600000381469727
1906,3.619999885559082,2.240000009536743
1907,4.5,3.430000066757202
1908,3.8499999046325684,2.5
1909,3.690000057220459,2.680000066757202
1910,4.289999961853027,2.890000104904175
1911,3.5999999046325684,2.25
1912,4.53000020980835,3.430000066757202
1913,5,3.890000104904175
1914,4.340000152587891,3.200000047683716
1915,2.759999990463257,2.2100000381469727
1916,2.890000104904175,1.909999966621399
1917,1.6399999856948853,1.2300000190734863
1918,3.9800000190734863,2.740000009536743
1919,3.490000009536743,2.299999952316284
1920,4.739999771118164,3.7899999618530273
1921,4.800000190734863,3.9200000762939453
1922,3.2799999713897705,2.4200000762939453
1923,2.880000114440918,1.9500000476837158
1924,3.2799999713897705,2.1600000858306885
1925,2.9100000858306885,1.850000023841858
1926,3.140000104904175,2.009999990463257
1927,3.569999933242798,2.319999933242798
1928,3.25,2.140000104904175
1929,2.9700000286102295,1.9199999570846558
1930,3.5999999046325684,2.5
1931,2.4100000858306885,1.5399999618530273
1932,3.2799999713897705,2.180000066757202
1933,3.6600000858306885,2.490000009536743
1934,2.4600000381469727,1.6699999570846558
1935,3.049999952316284,1.9700000286102295
1936,3.8399999141693115,3.140000104904175
1937,3.890000104904175,2.559999942779541
1938,3.7699999809265137,2.619999885559082
1939,3.4600000381469727,2.5199999809265137
1940,3.109999895095825,2.1500000953674316
1941,3.359999895095825,2.1500000953674316
1942,4.019999980926514,3.2799999713897705
1943,3.130000114440918,1.9299999475479126
1944,2.240000009536743,1.5299999713897705
1945,3.3299999237060547,2.130000114440918
1946,3.1500000953674316,1.8899999856948853
1947,2.799999952316284,1.809999942779541
1948,2.6500000953674316,1.6799999475479126
1949,3.819999933242798,2.5299999713897705
1950,4.329999923706055,3.6700000762939453
1951,3.7100000381469727,2.7699999809265137
1952,3.6600000858306885,2.890000104904175
1953,3.940000057220459,3
1954,3.630000114440918,2.2799999713897705
1955,3.2300000190734863,1.909999966621399
1956,2.759999990463257,1.7300000190734863
1957,3.119999885559082,1.75
1958,4.110000133514404,2.9000000953674316
1959,3.5899999141693115,2.890000104904175
1960,4.019999980926514,3.440000057220459
1961,2.630000114440918,1.7999999523162842
1962,3.5799999237060547,2.359999895095825
1963,3.680000066757202,2.640000104904175
1964,3.059999942779541,1.840000033378601
1965,4.340000152587891,3.369999885559082
1966,4.03000020980835,3.2200000286102295
1967,5.130000114440918,3.9600000381469727
1968,6.130000114440918,5.670000076293945
1969,4.579999923706055,3.609999895095825
1970,4.610000133514404,3.759999990463257
1971,4.940000057220459,4.28000020980835
1972,3.9100000858306885,3.130000114440918
1973,4.03000020980835,3.190000057220459
1974,4.639999866485596,3.619999885559082
1975,4.449999809265137,3.7300000190734863
1976,2.890000104904175,2.450000047683716
1977,3.569999933242798,2.569999933242798
1978,4.179999828338623,3.1700000762939453
1979,4.710000038146973,3.930000066757202
1980,4.119999885559082,2.930000066757202
1981,5.760000228881836,3.5299999713897705
1982,4.710000038146973,3.549999952316284
1983,3.630000114440918,2.819999933242798
1984,3.740000009536743,2.7799999713897705
1985,3.940000057220459,2.8499999046325684
1986,3.4700000286102295,2.9100000858306885
1987,3.880000114440918,4.010000228881836
1988,3.700000047683716,3.119999885559082
