"DRESSING","HOURS","STRENGTH","GROUP"
"care",3,280,"care3"
"care",3,420,"care3"
"care",3,140,"care3"
"care",3,175,"care3"
"care",3,343,"care3"
"care",3,314,"care3"
"care",3,336,"care3"
"care",3,371,"care3"
"care",3,574,"care3"
"care",3,596,"care3"
"care",24,882,"care24"
"care",24,728,"care24"
"care",24,476,"care24"
"care",24,659,"care24"
"care",24,665,"care24"
"care",24,602,"care24"
"care",24,708,"care24"
"care",24,678,"care24"
"care",24,602,"care24"
"care",24,833,"care24"
"coe",3,546,"coe3"
"coe",3,469,"coe3"
"coe",3,602,"coe3"
"coe",3,511,"coe3"
"coe",3,665,"coe3"
"coe",3,631,"coe3"
"coe",3,539,"coe3"
"coe",3,631,"coe3"
"coe",3,596,"coe3"
"coe",3,546,"coe3"
"coe",24,785,"coe24"
"coe",24,708,"coe24"
"coe",24,714,"coe24"
"coe",24,904,"coe24"
"coe",24,602,"coe24"
"coe",24,805,"coe24"
"coe",24,813,"coe24"
"coe",24,679,"coe24"
"coe",24,896,"coe24"
"coe",24,910,"coe24"
"peripac",3,91,"peri3"
"peripac",3,168,"peri3"
"peripac",3,168,"peri3"
"peripac",3,34,"peri3"
"peripac",3,71,"peri3"
"peripac",3,126,"peri3"
"peripac",3,77,"peri3"
"peripac",3,126,"peri3"
"peripac",3,119,"peri3"
"peripac",3,140,"peri3"
"peripac",24,211,"peri24"
"peripac",24,160,"peri24"
"peripac",24,126,"peri24"
"peripac",24,126,"peri24"
"peripac",24,126,"peri24"
"peripac",24,140,"peri24"
"peripac",24,83,"peri24"
"peripac",24,105,"peri24"
"peripac",24,83,"peri24"
"peripac",24,140,"peri24"
"putty",3,631,"putty3"
"putty",3,1058,"putty3"
"putty",3,631,"putty3"
"putty",3,882,"putty3"
"putty",3,777,"putty3"
"putty",3,1190,"putty3"
"putty",3,833,"putty3"
"putty",3,961,"putty3"
"putty",3,785,"putty3"
"putty",3,631,"putty3"
"putty",24,1127,"putty24"
"putty",24,904,"putty24"
"putty",24,673,"putty24"
"putty",24,742,"putty24"
"putty",24,602,"putty24"
"putty",24,827,"putty24"
"putty",24,799,"putty24"
"putty",24,1070,"putty24"
"putty",24,1225,"putty24"
"putty",24,553,"putty24"
"zone",3,805,"zone3"
"zone",3,629,"zone3"
"zone",3,840,"zone3"
"zone",3,377,"zone3"
"zone",3,756,"zone3"
"zone",3,728,"zone3"
"zone",3,734,"zone3"
"zone",3,708,"zone3"
"zone",3,665,"zone3"
"zone",3,748,"zone3"
"zone",24,1107,"zone24"
"zone",24,827,"zone24"
"zone",24,1358,"zone24"
"zone",24,1399,"zone24"
"zone",24,1366,"zone24"
"zone",24,1352,"zone24"
"zone",24,1190,"zone24"
"zone",24,1302,"zone24"
"zone",24,931,"zone24"
"zone",24,1107,"zone24"
